_step,train_accuracy,train_ADD,train_loss,train_mAP,_runtime,current_lr,train_loss_affinities,train_loss_belief,epoch,_timestamp,val_mAP,val_accuracy,val_ADD,val_loss
0,0.03831741898148148,40.2775482507808,0.0027390025643398985,0.05949853708282847,58.736634781,5e-05,0.00230116272396117,0.0010589474670268828,1.0,1744872375.2207074,,,,
1,,,,,62.45129538,,,,,1744872378.9354105,0.08028532262250855,0.03806089743589744,47.29865842533523,0.0033781324656536947
2,0.08884548611111111,40.35964970280184,0.001420809675255441,0.11047028622440602,120.106535878,4.9996977495800686e-05,0.0015452434610779165,0.00043212529926677233,2.0,1744872436.590683,,,,
3,,,,,123.648597923,,,,,1744872440.132735,0.08173380022889444,0.04589907955292571,47.27266061384263,0.00338987372099207
4,0.055501302083333336,40.29815907154337,0.0014277690221206284,0.09089613030611705,181.299438494,4.998791072896043e-05,0.0015593237389111892,0.00043207143298786834,3.0,1744872497.742188,,,,
5,,,,,184.875405922,,,,,1744872501.3594105,0.08011609352908168,0.03705415844838922,47.28160635569118,0.0033315298720621145
6,0.05309606481481481,40.278496995606474,0.001415841135167284,0.09070061632119149,242.623479695,4.997280193656827e-05,0.001545045218517771,0.00042887901599897305,4.0,1744872559.0649698,,,,
7,,,,,246.117394281,,,,,1744872562.6015425,0.0691672432337757,0.038379355687048006,47.26907910210663,0.0034053510484787133
8,0.045905671296296295,40.27387445095974,0.0014226106359274127,0.10082783090884903,303.698546685,4.995165484649266e-05,0.0015606914879754187,0.00042817659450520293,5.0,1744872620.182563,,,,
9,,,,,307.215152897,,,,,1744872623.69924,0.1337300470630472,0.05630547337278106,47.334670138674106,0.0033373610080721285
10,0.05923755787037037,40.33311317260993,0.0014043583985767327,0.16229981138256744,364.765747163,4.992447467646164e-05,0.0015369750566605945,0.00042391391234559707,6.0,1744872681.249893,,,,
11,,,,,368.28933113,,,,,1744872684.7734168,0.21596393090153587,0.09447937212360288,47.36362659225672,0.003317757832029691
12,0.08307291666666668,40.46792513601329,0.0014087260387896094,0.25637916564389895,425.838726966,4.9891268132775464e-05,0.0015401408625621115,0.00042577040594551365,7.0,1744872742.3228679,,,,
13,,,,,429.369141511,,,,,1744872745.8532615,0.338771789057085,0.15421597633136092,47.71973733704487,0.0033334356267005205
14,0.10484664351851851,40.625900963446526,0.0013998783830174943,0.35522501731449097,486.93758045,4.9852043408651913e-05,0.001529720953112701,0.0004233452718835906,8.0,1744872803.4217377,,,,
15,,,,,490.691400528,,,,,1744872807.169486,0.42085389387761396,0.18535297501643655,47.56551739436182,0.0033428668796729585
16,0.12160373263888888,40.44097405999152,0.0014014585663971956,0.42800133915568306,548.193246435,4.9806810182204715e-05,0.0015351701600593514,0.00042258232570020483,9.0,1744872864.6773944,,,,
17,,,,,551.720094388,,,,,1744872868.204222,0.4619320827588319,0.20536448060486528,47.3219213511765,0.003340205356765252
18,0.1333839699074074,40.197064300795034,0.0013949935790151357,0.49243799188989545,608.933722729,4.975557961405566e-05,0.0015226002775307278,0.00042246229168085847,10.0,1744872925.4176984,,,,
19,,,,,612.403655843,,,,,1744872928.887815,0.5357742479881904,0.2334812623274162,47.09861299655649,0.0032705150795384096
20,0.1470341435185185,40.219509035016,0.0013865958608221263,0.5175621583390011,669.839408313,4.969836434458088e-05,0.0015083788995980286,0.0004216042718326207,11.0,1744872986.3235257,,,,
21,,,,,673.331100201,,,,,1744872989.8152752,0.5923518826312911,0.2576532708744247,47.20225487711534,0.0032645757489192942
22,0.1626953125,40.33808313811823,0.001364534103436199,0.5460610844623638,730.511467613,4.963517849079196e-05,0.0014848065164784429,0.0004147538960090458,12.0,1744873046.9520478,,,,
23,,,,,733.960348875,,,,,1744873050.4444723,0.5896960947649877,0.27801405325443784,47.26021364343763,0.003215931857434603
24,0.17475043402777776,40.36839812499536,0.0013589674548711629,0.547192294563047,791.119453477,4.956603764285287e-05,0.0014794377490034093,0.0004128323867917061,13.0,1744873107.5621529,,,,
25,,,,,794.565044101,,,,,1744873111.049207,0.6362683596652301,0.3112980769230769,47.463165465816544,0.003175182554584283
26,0.1857349537037037,40.38132987327494,0.001336967355044294,0.5592854056571597,851.507841483,4.9490958860233254e-05,0.0014613845821060067,0.00040418337520620184,14.0,1744873167.9918878,,,,
27,,,,,854.958994413,,,,,1744873171.4430802,0.6061837675469087,0.3201840894148586,47.35535800578714,0.003149367134588269
28,0.19664351851851852,40.38358729169441,0.0013564883312938037,0.5667351479517794,912.215419605,4.9409960667499307e-05,0.001485575943661388,0.00040913357479439584,15.0,1744873228.6586668,,,,
29,,,,,915.643978495,,,,,1744873232.1281192,0.6028033530028399,0.3299741124260355,47.3504477454074,0.003118392348719331
30,0.2033962673611111,40.338872934083206,0.0013120088443315582,0.5631124498892859,972.337862756,4.932306304974307e-05,0.0014322020366080324,0.00039727188310649807,16.0,1744873288.8218715,,,,
31,,,,,975.812673026,,,,,1744873292.2967541,0.5875063121193987,0.3449005588428665,47.280397172566815,0.0030853082425892353
32,0.21288700810185185,40.41523008603992,0.0013160693117242773,0.5515602200601043,1033.185803635,4.923028744765145e-05,0.0014393277844646946,0.0003976036150561413,17.0,1744873349.669925,,,,
33,,,,,1036.932201273,,,,,1744873353.4162457,0.5993863068035243,0.35437212360289283,47.2890639523406,0.0030217207430933532
34,0.20719401041666669,40.353212958955766,0.0012839639814046678,0.5497464320829911,1094.573744269,4.913165675221605e-05,0.001408249398082262,0.000386559522121388,18.0,1744873411.0578918,,,,
35,,,,,1098.20611775,,,,,1744873414.6901827,0.5875638493233825,0.3527695595003287,47.45909705236024,0.0030377291214580718
36,0.21135706018518516,40.32865715508117,0.0012795457783795427,0.5450349424237436,1155.610441279,4.90271952990851e-05,0.0014088898769841762,0.0003834005598037038,19.0,1744873472.0945878,,,,
37,,,,,1159.162960528,,,,,1744873475.6470466,0.5730128430022818,0.3461024819197896,47.79395332255014,0.0029982486739754677
38,0.20911458333333335,40.373203709204546,0.0012631886074814247,0.5437666549640309,1215.723954642,4.8916928862559084e-05,0.0013927695817983476,0.0003778692079322354,20.0,1744873532.2080207,,,,
39,,,,,1219.787417451,,,,,1744873536.2715745,0.5703952082335451,0.34853714661406965,47.37367273155322,0.0029861440237324973
40,0.21112557870370371,40.50819621164557,0.0012583930176333525,0.5364673962514254,1276.260876849,4.8800884649231264e-05,0.0013854901203558256,0.0003770986395466025,21.0,1744873592.7449684,,,,
41,,,,,1279.676236861,,,,,1744873596.1603591,0.5781434686281591,0.35667324128862593,47.49060590184392,0.0029380833730101585
42,0.21514756944444446,40.44717347734929,0.0012440142851119162,0.5346453738390684,1336.180817715,4.867909129127486e-05,0.0013768521181191317,0.0003703921483065642,22.0,1744873652.6649344,,,,
43,,,,,1339.607964411,,,,,1744873656.0920444,0.56364465290583,0.35532749835634453,47.46589909640281,0.002961419648132645
44,0.21804832175925926,40.61697711100609,0.0012436141787475208,0.5380141355990655,1396.052921253,4.8551578839378525e-05,0.0013730225997278466,0.0003714019196195295,23.0,1744873712.5370817,,,,
45,,,,,1399.479978255,,,,,1744873715.9640613,0.5805915239727049,0.3574026134122288,47.30542680820565,0.0029379430477722334
46,0.2200846354166667,40.57925885381008,0.001230548087369243,0.5326749395235056,1455.717800894,4.8418378755331755e-05,0.0013658398882398614,0.0003650854306215479,24.0,1744873772.2019413,,,,
47,,,,,1459.155894082,,,,,1744873775.6399946,0.5683296883792027,0.35933390861275477,47.46858997827965,0.0029007625013876418
48,0.21900318287037038,40.83218751912358,0.0012254919325641821,0.5366135137157392,1515.615963142,4.827952390426216e-05,0.0013545562724175397,0.0003654758662378299,25.0,1744873832.1000974,,,,
49,,,,,1519.064728708,,,,,1744873835.5488853,0.5853534453991472,0.36104947403024323,47.57333145040584,0.0028959503934647027
50,0.22469979745370372,40.690895125351155,0.0012080471258741454,0.5472199262219595,1575.463954688,4.8135048546526525e-05,0.001340549641099642,0.000358514871186344,26.0,1744873891.9479444,,,,
51,,,,,1578.901927062,,,,,1744873895.3860588,0.5865398723753478,0.36207675871137407,47.592341835897244,0.002903706018024912
52,0.23439670138888888,40.60554394823621,0.001208500619395636,0.5779900582372848,1635.455746402,4.798498832925753e-05,0.001340124086709693,0.00035895905039069477,27.0,1744873951.939894,,,,
53,,,,,1638.923146761,,,,,1744873955.4073286,0.6211745814349212,0.3782770381328073,47.48638018435241,0.002834875978386173
54,0.2579282407407407,40.52411855926002,0.0012086729177099187,0.590619779671357,1695.759121665,4.78293802775684e-05,0.0013430533952487167,0.00035809748114843385,28.0,1744874012.2432554,,,,
55,,,,,1699.205800421,,,,,1744874015.689969,0.6310087295168901,0.3845229289940828,47.33218558160648,0.0028837393396175825
56,0.24450231481481483,40.542965088762436,0.0011819831554021221,0.6149921589231241,1755.813612809,4.766826278541747e-05,0.0013128769413015106,0.00035036312456213634,29.0,1744874072.2977312,,,,
57,,,,,1759.292160272,,,,,1744874075.776334,0.6680567365734392,0.40759574293228135,47.357015081640355,0.0028381922031537844
58,0.2607132523148148,40.59662293468771,0.0011660516163829015,0.6343665348034907,1816.26401581,4.750167560613507e-05,0.0012967702912646927,0.0003451109806519526,30.0,1744874132.7480223,,,,
59,,,,,1819.745562929,,,,,1744874136.2297213,0.7010814404049849,0.4059109960552268,47.49692908846993,0.0027414334651369313
60,0.2623083043981482,40.43942696239667,0.0011537450318428455,0.6621891401690692,1876.360244208,4.7329659842614996e-05,0.001283070222416427,0.000341473280423088,31.0,1744874192.844391,,,,
61,,,,,1879.795487565,,,,,1744874196.279631,0.7234891939904882,0.4055617192636423,47.41769818675971,0.0027256659500730727
62,0.2701027199074074,40.55549106860583,0.00114289076627756,0.6944804756033004,1936.452513633,4.715225793717298e-05,0.0012690579791524216,0.00033890785070980203,32.0,1744874252.9365191,,,,
63,,,,,1939.961662354,,,,,1744874256.445809,0.7523592250156159,0.4309253780407626,47.423663678216414,0.0026908325335870567
64,0.28254123263888886,40.679934296143315,0.0011215500780963339,0.72515348488083,1997.020468812,4.696951366107464e-05,0.0012483232640079223,0.0003315922972433327,33.0,1744874313.5046167,,,,
65,,,,,2000.519428222,,,,,1744874316.9986446,0.7815025449139852,0.4290249013806707,47.48708299263904,0.002679670972821231
66,0.28590494791666665,40.60418451452797,0.0010964464196149492,0.7577234765532197,2057.372665572,4.6781472103735674e-05,0.001227184592426056,0.0003219027485101833,34.0,1744874373.856773,,,,
67,,,,,2061.028066785,,,,,1744874377.512228,0.8130973818594304,0.4419789612097305,47.335767551271424,0.0026160233045140137
68,0.29133029513888886,40.5967402440392,0.0010737313095887657,0.7767215353572352,2118.894963299,4.658817966159661e-05,0.0011973644301178864,0.0003166993968989118,35.0,1744874435.379104,,,,
69,,,,,2122.561111711,,,,,1744874439.0451765,0.8567791140808206,0.45855933596318216,47.33613609714371,0.002526787306683568
70,0.29501591435185187,40.790080116783216,0.0010519793540879618,0.8051421757179457,2180.643388457,4.638968402667525e-05,0.0011775686503824544,0.00030879668702255003,36.0,1744874497.0844672,,,,
71,,,,,2184.28296689,,,,,1744874500.7671154,0.857722158646057,0.4628431130834976,47.3266504989168,0.0025446979293169882
72,0.2992259837962963,40.70070969942266,0.0010368863608164248,0.8089864023247871,2241.437202987,4.6186034174799365e-05,0.0011613803362706676,0.000304130796030222,37.0,1744874557.921283,,,,
73,,,,,2244.91687644,,,,,1744874561.401032,0.8336651538142448,0.44649901380670615,47.216581018053425,0.002593513040875013
74,0.30481409143518523,40.869867280187066,0.0010264872420520988,0.8142806640003155,2301.883484855,4.597728035352262e-05,0.0011437844917963958,0.000303063331557496,38.0,1744874618.3245673,,,,
75,,,,,2305.351250312,,,,,1744874621.835401,0.88167926128049,0.48836086456278766,47.422624903095354,0.0024212725424709227
76,0.30892288773148147,41.09082335182105,0.000993740014746436,0.827422178142753,2362.103362098,4.5763474069726755e-05,0.0011171732705406612,0.00029010225562160487,39.0,1744874678.545501,,,,
77,,,,,2365.555419112,,,,,1744874682.0395093,0.8927026856191844,0.48520710059171596,47.331898346566334,0.002366332856651682
78,0.30999348958333334,40.882375874085795,0.0009657666902057827,0.8473615411713226,2422.47949907,4.554466807691307e-05,0.00108394485541794,0.0002825295071488654,40.0,1744874738.922927,,,,
79,,,,,2426.162724407,,,,,1744874742.6468134,0.8853805965096989,0.4810260519395136,47.4317861890047,0.0024057580516315424
80,0.31138599537037037,40.783686298765254,0.0009542079740640474,0.8574323753056969,2483.112117412,4.532091636218621e-05,0.0010769592892756919,0.0002771522199509491,41.0,1744874799.5961933,,,,
81,,,,,2486.606297144,,,,,1744874803.0904002,0.8949717184538246,0.4949868507560816,47.318151965433074,0.002342687006323383
82,0.32087311921296297,40.86841484400213,0.0009283381270506653,0.8563294844845892,2543.808862394,4.509227413293372e-05,0.0010449107661770541,0.0002705884980059636,42.0,1744874860.292935,,,,
83,,,,,2547.29409876,,,,,1744874863.7782505,0.8994119119570847,0.49938362919132145,47.403518686860814,0.002309078941694819
84,0.3241861979166667,40.866234075892145,0.0009132908449828392,0.8601377541589805,2604.34257933,4.485879780320441e-05,0.0010280941754899687,0.0002661625026121328,43.0,1744874920.8267112,,,,
85,,,,,2607.820299407,,,,,1744874924.3044467,0.9155975693076578,0.5075094510190665,47.35399692839508,0.0021864872139233807
86,0.31872106481481477,40.79419229871342,0.0008858697023242712,0.8834996081018559,2665.057230029,4.462054497978908e-05,0.0010019747463957175,0.00025658822114564827,44.0,1744874981.5413322,,,,
87,,,,,2668.529191062,,,,,1744874985.0133722,0.9179460823206192,0.5082799145299146,47.34444357467923,0.0022020459067649567
88,0.33351417824074076,40.803571790903156,0.0008717323791643139,0.8732051754517514,2725.728947525,4.437757444800684e-05,0.000981601841704105,0.00025395430666321774,45.0,1744875042.213031,,,,
89,,,,,2729.216594286,,,,,1744875045.7007666,0.9171172939703779,0.5211415187376726,47.42956291044462,0.0021399611320633153
90,0.32911964699074076,40.86559945336864,0.0008651328073028708,0.8828981550323372,2786.489246077,4.412994615720077e-05,0.0009777209197636694,0.0002508482320990879,46.0,1744875102.9733007,,,,
91,,,,,2789.964211896,,,,,1744875106.4482768,0.9312674488330175,0.512892422748192,47.69456755136926,0.002110819421851864
92,0.33026620370370374,40.87074907166346,0.0008517585771187442,0.8840496338699394,2846.893398656,4.387772120594627e-05,0.0009631961835111724,0.00024677365627212566,47.0,1744875163.3774438,,,,
93,,,,,2850.435732464,,,,,1744875166.9198754,0.9261362171491426,0.5129437869822486,47.42174065680635,0.0021482333182715452
94,0.3287796585648148,40.74958783571873,0.0008403863041166915,0.8925840242198954,2907.35404463,4.362096182697594e-05,0.0009500126270722831,0.0002435866606901982,48.0,1744875223.8380919,,,,
95,,,,,2910.848634955,,,,,1744875227.3326368,0.9304346591130478,0.5171864727153189,47.723853591398935,0.002080778000303186
96,0.33572410300925926,40.87266835317602,0.0008308485565066803,0.8878639470815841,2967.983894817,4.335973137182459e-05,0.000934367289301008,0.00024244327487394913,49.0,1744875284.4679399,,,,
97,,,,,2971.490589334,,,,,1744875287.9747403,0.9331861936512481,0.5268429487179487,47.43161381442995,0.002062615750429149
98,0.3313874421296297,40.854138722285896,0.000817766468389891,0.8988129732665702,3028.632533217,4.309409429519813e-05,0.0009251706742361421,0.00023678742045376566,50.0,1744875345.1166904,,,,
99,,,,,3032.116835311,,,,,1744875348.600912,0.9385359854282511,0.5223331689677844,47.253336628367514,0.002035799767607107
100,0.33543113425925924,41.0127691861593,0.000805497456167359,0.8974965079965068,3089.240308969,4.2824116139070415e-05,0.0009117637022427516,0.0002330770694243256,51.0,1744875405.7244456,,,,
101,,,,,3092.947909154,,,,,1744875409.4320638,0.9374532471602807,0.52222016765286,47.21976060818236,0.002025338731562862
102,0.33293547453703703,41.050741919523404,0.0008097642414213624,0.903939469671732,3150.700868967,4.25498635165117e-05,0.0009162184651358984,0.00023443667269020806,52.0,1744875467.1849957,,,,
103,,,,,3154.410104758,,,,,1744875470.8942745,0.9378734431316377,0.5248089250493096,47.292065836953064,0.0020339911391672036
104,0.3374421296296296,40.76668410019144,0.0008024536691664252,0.899021026868299,3212.294958098,4.227140409525288e-05,0.00090933970604965,0.0002318558753358957,53.0,1744875528.7790973,,,,
105,,,,,3215.969371325,,,,,1744875532.4535496,0.9443191284902016,0.5284763313609468,47.59049143345654,0.0020313159777567936
106,0.3447157118055556,40.89188083048318,0.0007803607175446813,0.8990034609807651,3274.131729628,4.198880658098945e-05,0.0008831079823721666,0.000225871151087631,54.0,1744875590.615793,,,,
107,,,,,3277.811093153,,,,,1744875594.2952526,0.938792749819747,0.533181295200526,47.239493498821815,0.002012389353834666
108,0.3401765046296297,40.748858021228095,0.0007705917818384478,0.9036416311191285,3335.851485848,4.170214070042947e-05,0.0008711043450603029,0.000223359737174178,55.0,1744875652.3356051,,,,
109,,,,,3339.601922409,,,,,1744875656.0860524,0.9487519268992823,0.5353694115713347,47.4854629322893,0.0019419555498573643
110,0.34745008680555556,40.84646359951803,0.0007613800178660312,0.9111523924910768,3397.62910776,4.1411477184089504e-05,0.0008600996505265357,0.0002208867957961047,56.0,1744875714.1132455,,,,
111,,,,,3401.453925185,,,,,1744875717.938058,0.9433777739967056,0.5323389217619987,47.360121592636396,0.001965848173802862
112,0.35380859375,40.811701095895955,0.0007702247450652067,0.8974733539548396,3459.164714803,4.11168877488429e-05,0.0008694442069099751,0.00022366842849805835,57.0,1744875775.6488714,,,,
113,,,,,3462.935617312,,,,,1744875779.419688,0.9516401666246039,0.5335408448389217,47.330703540834726,0.0019314520222206528
114,0.33984736689814815,40.925246130731885,0.0007610309508891078,0.9094155197715509,3520.967430929,4.081844508022478e-05,0.0008569259676733054,0.00022171197697389288,58.0,1744875837.4087079,,,,
115,,,,,3524.816983957,,,,,1744875841.301058,0.9518985965419904,0.5321540105193953,47.3271370870854,0.00192630269493048
