_step,train_accuracy,train_ADD,train_loss,train_mAP,_runtime,current_lr,train_loss_affinities,train_loss_belief,epoch,_timestamp,val_mAP,val_accuracy,val_ADD,val_loss
0,0.1518482349537037,40.23277285156409,0.0031689712803199656,0.16741301196640263,94.157393099,5e-05,0.0029139615915482866,0.001141327000914316,1.0,1745437068.5605962,,,,
1,,,,,98.763787518,,,,,1745437073.2100172,0.11619772312696328,0.09481837606837608,47.28112914944255,0.0037897383221066915
2,0.1511863425925926,40.28521867818591,0.002211138439452043,0.1719931536595654,192.620436766,4.9996977495800686e-05,0.0023168532628915274,0.0007018078693363349,2.0,1745437167.066547,,,,
3,,,,,196.943678247,,,,,1745437171.3899074,0.10063460037374246,0.08422707100591717,46.99992684489571,0.0037657295425350848
4,0.16656177662037036,40.362370354067146,0.002200787590118125,0.19797720931921975,290.201052933,4.998791072896043e-05,0.00230776806929498,0.0006979357036470901,3.0,1745437264.647247,,,,
5,,,,,294.525018158,,,,,1745437268.9711955,0.10240180208622089,0.08114521696252465,47.21986735702949,0.003745637690791717
6,0.1674660011574074,40.170706546054156,0.00222609371485305,0.23509006673688507,387.693491403,4.997280193656827e-05,0.0023324226232944055,0.0007065882671668077,4.0,1745437362.1396987,,,,
7,,,,,392.01059097,,,,,1745437366.4568172,0.18707729450787808,0.1387861604207758,47.21204660649077,0.0037478780947052515
8,0.1866283275462963,40.30342630053391,0.002195626869288958,0.2994765640591088,485.745666379,4.995165484649266e-05,0.0022976245511515,0.0006978763996894344,5.0,1745437460.191859,,,,
9,,,,,490.029566251,,,,,1745437464.4757495,0.2976936933729718,0.19648874095989477,47.35644931155706,0.003732452204880806
10,0.2039279513888889,40.22851546230718,0.0022070727252867075,0.3928319244183317,583.302437966,4.992447467646164e-05,0.002310643359669484,0.0007011673580564093,6.0,1745437557.7486298,,,,
11,,,,,587.937684863,,,,,1745437562.383891,0.4082565918342,0.20339209401709402,47.11586493387372,0.0037439500626463154
12,0.2063404224537037,40.40158717909626,0.002204657733818749,0.493517142946679,681.409475872,4.9891268132775464e-05,0.0023040760126605163,0.000701746482445742,7.0,1745437655.814088,,,,
13,,,,,685.670312965,,,,,1745437660.1164796,0.5637633017518194,0.29388560157790933,47.47322513316817,0.0036650739896755954
14,0.22280815972222223,40.270493380751546,0.0021609817442367783,0.5486999753215219,779.301315709,4.9852043408651913e-05,0.002259960177616449,0.0006873344404084491,8.0,1745437753.7474308,,,,
15,,,,,783.561860751,,,,,1745437758.008053,0.5819715832949207,0.33868548652202496,47.35680909479869,0.003598591205305778
16,0.23455584490740744,40.38169445610435,0.002114888872165466,0.5438240502213412,876.601223429,4.9806810182204715e-05,0.002211886180884903,0.0006726305289703304,9.0,1745437851.0474112,,,,
17,,,,,880.977405891,,,,,1745437855.4168017,0.5652401375333744,0.34548611111111105,47.28743932899324,0.003532983004473723
18,0.21826171874999994,40.848821388835,0.002070117255061632,0.5424328296559002,974.541304023,4.975557961405566e-05,0.0021760963383712804,0.0006547127239173278,10.0,1745437948.9444835,,,,
19,,,,,978.933380664,,,,,1745437953.3794982,0.5572058071962075,0.3349153517422749,47.31091006643587,0.00346873732856833
20,0.2328956886574074,41.52488210119201,0.0020339084730949253,0.5255822696470762,1071.949319233,4.969836434458088e-05,0.0021498665439139584,0.0006393168039721786,11.0,1745438046.35203,,,,
21,,,,,1076.737951429,,,,,1745438051.184132,0.556732905499479,0.3477255917159763,47.709979731485596,0.0034620372148660514
22,0.2285300925925926,41.65429754241183,0.0020111471141717628,0.5187789384636693,1169.781917658,4.963517849079196e-05,0.0021287450377712957,0.0006311830591585021,12.0,1745438144.2281055,,,,
23,,,,,1174.044144881,,,,,1745438148.4902859,0.5527413184026189,0.346513395792242,47.65822776170616,0.0033873772571006646
24,0.22804904513888888,41.522384325424646,0.0019865513328113592,0.512763153538613,1267.496246535,4.956603764285287e-05,0.0021099869962199593,0.0006210385596205015,13.0,1745438241.9423645,,,,
25,,,,,1271.733928201,,,,,1745438246.1800566,0.5459016752716681,0.3454347468770545,48.01661925394968,0.0033547764715666953
26,0.22685546875,41.58047350557577,0.001978675358259352,0.5072961023245784,1364.957358035,4.9490958860233254e-05,0.0021129084954736753,0.0006148140730147134,14.0,1745438339.3566754,,,,
27,,,,,1369.15667294,,,,,1745438343.6028287,0.5322552684998917,0.346215483234714,47.76970401157819,0.003336418366346222
28,0.2345052083333333,41.72115376799331,0.0019741507705475668,0.5058916886095945,1462.061959056,4.9409960667499307e-05,0.0021091742062708365,0.0006130424410002889,15.0,1745438436.5081768,,,,
29,,,,,1466.324203448,,,,,1745438440.7704291,0.5372222738940409,0.34497246877054566,47.79036916292693,0.0032905266226197663
30,0.23262803819444447,41.64071748916916,0.0019645990716526283,0.5058173163985682,1559.062133531,4.932306304974307e-05,0.0020999071857659146,0.0006097636516642524,16.0,1745438533.50828,,,,
31,,,,,1563.412098424,,,,,1745438537.8577526,0.5462901797358584,0.3482597797501643,47.42594522543492,0.0033340299716935707
32,0.25309606481481484,41.673243713673585,0.0019406946819799486,0.5293025999978725,1657.209879935,4.923028744765145e-05,0.0020819460682105274,0.0005998144290060737,17.0,1745438631.6560318,,,,
33,,,,,1661.485337607,,,,,1745438635.9315255,0.5627584043341769,0.346081936226167,47.576740395645075,0.003312454684279286
34,0.2572374131944445,41.22260981576942,0.0019138554125675,0.5838553688119843,1754.433390743,4.913165675221605e-05,0.0020530435642285736,0.00059155575800105,18.0,1745438728.8386095,,,,
35,,,,,1758.682611626,,,,,1745438733.1288407,0.6249974245643138,0.377568211702827,47.311216934476235,0.0032404379274409553
36,0.2607964409722222,41.18242617880918,0.001877020482061198,0.686230523139432,1853.633399131,4.90271952990851e-05,0.002010713944764575,0.0005811090060888092,19.0,1745438828.036388,,,,
37,,,,,1858.056890996,,,,,1745438832.5030994,0.7821535347876416,0.4216489973701512,47.32107579251998,0.003185758313450676
38,0.28722873263888893,41.265810116186486,0.001801886547036702,0.781592982540837,1951.937428748,4.8916928862559084e-05,0.0019334827571583445,0.0005567634440012626,20.0,1745438926.3403015,,,,
39,,,,,1956.160816365,,,,,1745438930.6070397,0.8390357255541203,0.451563527284681,47.45431723929414,0.0030878385743842674
