_step,train_accuracy,train_ADD,train_loss,train_mAP,_runtime,current_lr,train_loss_affinities,train_loss_belief,epoch,_timestamp,val_mAP,val_accuracy,val_ADD,val_loss
0,0.18835358796296295,40.22511612746988,0.003206209782365477,0.20631263501083802,94.30972088,5e-05,0.0029847669451555704,0.0011425508782849647,1.0,1744855706.0204022,,,,
1,,,,,98.744717435,,,,,1744855710.4986396,0.22346256253779267,0.1836476824457594,47.32032910558064,0.005087263076207959
2,0.3266927083333333,40.26457164717818,0.0022044395365810486,0.3581441276433268,192.001743258,4.9996977495800686e-05,0.002312352279841434,0.0006988422621361679,2.0,1744855803.7152417,,,,
3,,,,,196.272816097,,,,,1744855808.0266047,0.19332620833347214,0.15384615384615385,47.29473608165414,0.005094904201821639
4,0.21921296296296297,40.24586656537282,0.0022193223507201766,0.2406997078644398,288.873221048,4.998791072896043e-05,0.0023229040176374837,0.0007052468889014562,3.0,1744855900.6270506,,,,
5,,,,,293.214389759,,,,,1744855904.968309,0.14626431192626171,0.11050501314924392,47.337462426178526,0.00510843712478303
6,0.16205150462962964,40.251590912967856,0.0022063890279241604,0.2047171564172187,385.672337729,4.997280193656827e-05,0.002310229926297325,0.0007008493762441503,4.0,1744855997.4261487,,,,
7,,,,,390.015064654,,,,,1744856001.7688458,0.192928638323434,0.10238946416831031,47.268516646421,0.005097945131218204
8,0.14347511574074073,40.278588748949865,0.002189425410324475,0.23123538471887234,482.549643361,4.995165484649266e-05,0.002289310219930485,0.0006965135347854811,5.0,1744856094.2613952,,,,
9,,,,,486.837176456,,,,,1744856098.591135,0.2812052524532675,0.14475468441814596,46.89407277803922,0.00507226106352531
10,0.16516927083333333,40.01360534580092,0.0021820485635544173,0.36059713714395203,579.407847124,4.992447467646164e-05,0.0022818707482656466,0.0006940754683455452,6.0,1744856191.1618106,,,,
11,,,,,583.711052506,,,,,1744856195.4650376,0.5013141779726016,0.27022723537146615,47.003720740662274,0.0050212540305577796
